endTime,artistName,trackName,msPlayed
2023-05-30 23:24,Miguel Angél Varvello,Caricias,2346
2023-06-1 9:42,Bizarrap,"Peso Pluma: Bzrp Music Sessions, Vol. 55",188361
2023-06-1 9:45,Duki,Unfollow,196727
2023-06-1 9:49,Bizarrap,"Duki: Bzrp Music Sessions, Vol. 50",221303
2023-06-1 9:53,Bizarrap,3 Estrellas en el Conjunto,276774
2023-06-1 9:56,Bizarrap,"Nicky Jam: Bzrp Music Sessions, Vol. 41",158086
2023-06-1 9:59,Bizarrap,"HOMER EL MERO MERO: Bzrp Music Sessions, Vol. 30",7785
2023-06-1 9:59,Bizarrap,"KHEA: Bzrp Music Sessions, Vol. 34",198703
2023-06-1 10:03,Bizarrap,"Trueno: Bzrp Freestyle Sessions, Vol. 6",199391
2023-06-1 10:05,Bizarrap,"Trueno: Bzrp Music Sessions, Vol. 16",146039
2023-06-1 10:09,Trueno,Mamichula - con Nicki Nicole,215016
2023-06-1 10:11,Bizarrap,"Ptazeta: Bzrp Music Sessions, Vol. 45",161485
2023-06-1 10:14,Bizarrap,"Chucky73: Bzrp Music Sessions, Vol. 43",2623
2023-06-1 10:14,Bizarrap,"Villano Antillano: Bzrp Music Sessions, Vol. 51",173937
2023-06-1 10:14,Bizarrap,"Paco Amoroso: Bzrp Music Sessions, Vol. 3",3366
2023-06-1 10:14,Bizarrap,"L-Gante: Bzrp Music Sessions, Vol.38",1532
2023-06-1 10:17,Bizarrap,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",171215
2023-06-1 10:18,Bizarrap,"Neutro Shorty: Bzrp Music Sessions, Vol. 21",3413
2023-06-1 10:18,Bizarrap,"Aleman: Bzrp Music Sessions, Vol. 15",20359
2023-06-1 10:18,Nicki Nicole,Verte,4295
2023-06-1 10:18,Bizarrap,"Eladio Carrion: Bzrp Music Sessions, Vol. 40",1555
2023-06-1 10:18,Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",1950
2023-06-1 10:18,Bizarrap,"Lalo Ebratt: Bzrp Music Sessions, Vol. 22",22360
2023-06-1 10:18,Bizarrap,"Lucho SSJ: Bzrp Music Sessions, Vol. 26",2113
2023-06-1 10:18,Bizarrap,"Don Patricio: Bzrp Music Sessions, Vol. 25",1718
2023-06-1 10:18,Bizarrap,"Polimá Westcoast: Bzrp Music Sessions, Vol. 19",4295
2023-06-1 10:21,Bizarrap,"Eladio Carrion: Bzrp Music Sessions, Vol. 40",164895
2023-06-1 10:24,Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",160000
2023-06-1 10:27,Bizarrap,"Arcángel: Bzrp Music Sessions, Vol. 54",223019
2023-06-1 10:30,Bizarrap,"Morad: Bzrp Music Sessions, Vol. 47",177583
2023-06-1 10:31,Bizarrap,"Residente: Bzrp Music Sessions, Vol. 49",3930
2023-06-1 10:34,Eladio Carrion,Sin Frenos,211394
2023-06-1 10:34,Bizarrap,"Aczino: Bzrp Freestyle Sessions, Vol. 8",6512
