endTime,artistName2,trackName,msPlayed
2023-03-02 22:25,Bizarrap,"Villano Antillano: Bzrp Music Sessions, Vol. 51",187500

2023-03-02 22:28,Levis Remix,Convencete Cuerpo en Venta (Mirandote Estar Solo),206068

2023-03-02 22:31,Tiago PZK,Entre Nosotros,192352

2023-03-02 22:34,Big One,En La Intimidad | CROSSOVER #1,165854

2023-03-02 22:37,Tiago PZK,Salimo de Noche,177857

2023-03-02 22:40,TINI,Recuerdo,200960

2023-03-02 22:43,Duki,Pintao,167340

2023-03-02 22:46,TINI,El Último Beso,197647

2023-03-02 22:49,LIT killah,Mala Mía,190928

2023-03-02 22:52,Duki,TOP 5,146815

2023-03-02 22:55,Myke Towers,Bandido,232853

2023-03-02 22:57,Salastkbron,TITAN,122135

2023-03-02 23:01,Tiago PZK,Nos Comemos (feat. Ozuna),191086

2023-03-02 23:05,Shakira,Te Felicito,22951

2023-03-02 23:05,Nio Garcia,AM Remix,261334

2023-03-03 15:39,Miley Cyrus,Flowers,200454

2023-03-03 15:41,Miley Cyrus,Flowers,126470

2023-03-03 15:44,Miley Cyrus,WTF Do I Know,171800

2023-03-03 15:47,Miley Cyrus,Plastic Hearts,205733

2023-03-03 15:51,Miley Cyrus,Angels Like You,196453

2023-03-03 15:53,Miley Cyrus,Prisoner (feat. Dua Lipa),169333

2023-03-03 16:24,Miley Cyrus,WTF Do I Know,171800

2023-03-03 16:28,Miley Cyrus,Angels Like You,170

2023-03-03 16:28,Miley Cyrus,Prisoner (feat. Dua Lipa),1080

2023-03-03 16:28,Miley Cyrus,Hate Me,1610

2023-03-03 16:28,Miley Cyrus,Gimme What I Want,420

2023-03-03 16:28,Miley Cyrus,Gimme What I Want,27460

2023-03-03 16:28,Miley Cyrus,Bad Karma (feat. Joan Jett),1350

2023-03-03 16:28,Miley Cyrus,Plastic Hearts,195110

2023-03-03 16:28,Miley Cyrus,Night Crawling (feat. Billy Idol),4000

2023-03-03 16:30,Miley Cyrus,Gimme What I Want,64458

2023-03-03 16:30,Miley Cyrus,Bad Karma (feat. Joan Jett),96000

2023-03-03 22:46,Zoe Gotusso,La Culpa,191896

2023-03-03 22:48,Paz Carrara,Sola Estoy Bien,142250

2023-03-03 22:52,Zoe Gotusso,María,229943

2023-03-03 22:56,Conociendo Rusia,Loco en el Desierto,257176

2023-03-03 22:58,Conociendo Rusia,Puede Ser,65101

2023-03-04 00:40,Billie Eilish,TV,281380

2023-03-04 00:45,Billie Eilish,Happier Than Ever,240095

2023-03-04 00:49,Billie Eilish,everything i wanted,245425

2023-03-04 00:52,Billie Eilish,bad guy,194087

2023-03-04 00:56,Billie Eilish,Getting Older,244221

2023-03-04 00:58,Billie Eilish,Therefore I Am,110263

2023-03-04 15:50,Tiago PZK,Nos Comemos (feat. Ozuna),191086

2023-03-04 15:52,Alan Gomez,LA JOAQUI | Mission 08,149500

2023-03-04 15:59,Duki,She Don't Give a Fo,209531

2023-03-04 16:02,Sebastian Yatra,Pareja Del Año,195053

2023-03-04 16:05,TINI,Muñecas,156317

2023-03-04 16:08,Bizarrap,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",177442

2023-03-04 16:10,TINI,Duele (feat. John C),138011

2023-03-04 16:13,Nicki Nicole,Sabe,177655

2023-03-04 16:16,Bad Bunny,Yonaguni,206710

2023-03-04 16:20,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",198937

2023-03-04 16:24,Rihanna,Love On The Brain,6800

2023-03-04 16:24,Marc Seguí,Tiroteo - Remix,50658

2023-03-04 16:28,Rihanna,Where Have You Been,242680

2023-03-04 16:31,Rihanna,"Dancing In The Dark - From The ""Home"" Soundtrack",118885

2023-03-04 16:36,Eminem,Love The Way You Lie,1250

2023-03-04 16:36,JAY-Z,Run This Town,190990

2023-03-04 16:36,Rihanna,S&M,2050

2023-03-04 16:41,Rihanna,Don't Stop The Music,267080

2023-03-04 16:45,Rihanna,SOS,238920

2023-03-04 16:46,Rihanna,Pour It Up,44451

2023-03-05 00:34,Doja Cat,Need to Know,228994

2023-03-05 15:15,Doja Cat,Need to Know,167392

2023-03-05 15:15,Rihanna,Man Down,853

2023-03-05 23:16,Rihanna,Pour It Up,147477

2023-03-05 23:19,La Joaqui,Dos Besitos,149083

2023-03-05 23:22,Maria Becerra,AUTOMÁTICO,175317

2023-03-05 23:26,Cris Mj,Marisola - Remix,237473

2023-03-05 23:28,Duki,Esto Recién Empieza,172352

2023-03-05 23:52,Boza,Hecha Pa' Mi,186133

2023-03-05 23:54,Lali,N5,154867

2023-03-05 23:58,Myke Towers,Bandido,232853

2023-03-06 00:04,Levis Remix,Convencete Cuerpo en Venta (Mirandote Estar Solo),376168

2023-03-06 00:08,Bizarrap,"Villano Antillano: Bzrp Music Sessions, Vol. 51",187500

2023-03-06 00:12,Bad Bunny,Dos Mil 16,42343

2023-03-06 00:12,Bizarrap,"Villano Antillano: Bzrp Music Sessions, Vol. 51",1258

2023-03-06 00:16,Levis Remix,Convencete Cuerpo en Venta (Mirandote Estar Solo),206068

2023-03-06 00:19,Bizarrap,"Villano Antillano: Bzrp Music Sessions, Vol. 51",187500

2023-03-06 00:22,Bad Bunny,Dos Mil 16,208060

2023-03-06 00:23,Rauw Alejandro,La Old Skul,61755

2023-03-06 00:27,Rauw Alejandro,Sexo Virtual,208291

2023-03-06 00:48,TINI,Bar,85433

2023-03-06 00:49,Duki,Malbec,0

2023-03-06 00:52,Emilia,como si no importara,173052

2023-03-06 00:55,J Balvin,Qué Más Pues?,217773

2023-03-06 01:01,Marc Seguí,Tiroteo - Remix,321555

2023-03-06 01:02,Maria Becerra,Confiesalo,65720

2023-03-06 15:54,Maria Becerra,Confiesalo,131632

2023-03-06 15:57,FMK,Tranquila,183430

2023-03-06 16:13,Rusherking,Además de Mí - Remix,330040

2023-03-06 16:17,KHEA,Te Necesito,197960

2023-03-06 16:19,Emilia,cuatro veinte,110993

2023-03-07 01:11,Billie Eilish,GOLDWING,2298

2023-03-07 01:11,Billie Eilish,ilomilo,348

